me.txt(9): 12-23 12:04:48.873 E/kernel  ( 6459): [ 1897.173040][drm:mtk_tv_drm_ambient_light_set_frame_size [mediatek_drm_tv]] *ERROR* [mtk_tv_drm_ambient_light_set_frame_size][456] AMB not init
me.txt(27): 12-23 12:04:48.889 E/kernel  ( 6459): [ 1897.189301][drm:mtk_tv_drm_backlight_set_panel_info [mediatek_drm_tv]] *ERROR* [_backlight_set_period_multi][486] Invalid period_multi[0] = 0
me.txt(28): 12-23 12:04:48.889 E/kernel  ( 6459): [ 1897.189369][drm:mtk_tv_drm_backlight_set_panel_info [mediatek_drm_tv]] *ERROR* [mtk_tv_drm_backlight_set_panel_info][905] _backlight_set_period_multi fail, ret = -1
me.txt(29): 12-23 12:04:48.889 E/kernel  ( 6459): [ 1897.189433][drm:mtk_tv_drm_ambient_light_set_frame_size [mediatek_drm_tv]] *ERROR* [mtk_tv_drm_ambient_light_set_frame_size][456] AMB not init
me.txt(129): 12-23 12:04:48.978 E/kernel  ( 6663): [ 1897.277920]mtk-pqu 1d020200.memcu: pqu_elf_load_customize_tables: find coredump_table fail
me.txt(220): 12-23 12:04:49.604 E/android.hardware.wifi-service(  593): Failed to get firmware debug dump: NOT_SUPPORTED
me.txt(253): 12-23 12:04:49.605 E/WifiChipAidlImpl(  751): requestFirmwareDebugDump failed with service-specific exception: android.os.ServiceSpecificException:  (code 4)
me.txt(440): 12-23 12:04:49.129 I/kernel  (  567): [ 1897.429239][wlan][567]p2pFuncSwitchSapChannel:(P2P WARN) SAP is not active
me.txt(468): 12-23 12:04:49.257 E/kernel  (  572): [ 1897.556546]pqu_ambient_light_sensor_get_illuminance() Fail
me.txt(469): 12-23 12:04:49.257 E/kernel  (  572): [ 1897.556557]pqu_ambient_light_sensor_get_error_information() Fail
me.txt(472): 12-23 12:04:49.258 I/kernel  ( 1186): [ 1897.558412][wlan][1186]mtk_cfg_get_txpower:(REQ WARN) STA doesn't support this function
me.txt(474): 12-23 12:04:49.259 I/kernel  ( 1186): [ 1897.559308][wlan][1186]mtk_cfg_get_txpower:(REQ WARN) STA doesn't support this function
me.txt(518): 12-23 12:04:49.341 I/kernel  ( 1186): [ 1897.641483][wlan][1186]mtk_cfg_get_txpower:(REQ WARN) STA doesn't support this function
me.txt(563): 12-23 12:04:49.388 E/kernel  ( 6661): [ 1897.688160][ALSA MTK] mtk_src1_clk_set_enable set hdmi divisor fail
me.txt(571): 12-23 12:04:49.394 E/kernel  ( 6661): [ 1897.694271][ALSA MTK] mtk_src3_clk_set_enable set source divisor fail
me.txt(578): 12-23 12:04:49.420 I/kernel  (  611): [ 1897.719896][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(584): 12-23 12:04:49.421 I/kernel  (  751): [ 1897.720933][wlan][751]priv_driver_set_wow_tcpport:(REQ WARN) argc is 2
me.txt(592): 12-23 12:04:49.421 I/kernel  (  751): [ 1897.721227][wlan][751]priv_driver_set_wow_udpport:(REQ WARN) argc is 2
me.txt(600): 12-23 12:04:49.421 I/kernel  (  751): [ 1897.721503][wlan][751]priv_driver_set_wow_tcpport:(REQ WARN) argc is 2
me.txt(608): 12-23 12:04:49.422 I/kernel  (  751): [ 1897.721756][wlan][751]priv_driver_set_wow_udpport:(REQ WARN) argc is 2
me.txt(613): 12-23 12:04:49.425 I/kernel  (  611): [ 1897.724898][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(615): 12-23 12:04:49.427 I/kernel  (  611): [ 1897.726633][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(617): 12-23 12:04:49.429 I/kernel  (  611): [ 1897.729086][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(619): 12-23 12:04:49.430 I/kernel  (  611): [ 1897.730407][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(621): 12-23 12:04:49.433 I/kernel  (  611): [ 1897.732983][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(623): 12-23 12:04:49.435 I/kernel  (  611): [ 1897.735137][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(625): 12-23 12:04:49.439 I/kernel  (  611): [ 1897.738790][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(627): 12-23 12:04:49.443 I/kernel  (  611): [ 1897.742586][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(629): 12-23 12:04:49.445 I/kernel  (  611): [ 1897.744529][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(644): 12-23 12:04:49.451 I/kernel  (  611): [ 1897.750566][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(646): 12-23 12:04:49.453 I/kernel  (  611): [ 1897.753053][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(655): 12-23 12:04:49.458 I/kernel  (  611): [ 1897.757671][wlan][611]priv_support_mdns_offload:(REQ ERROR) mdns param check failed!
me.txt(667): 12-23 12:04:49.461 I/kernel  (  611): [ 1897.760770][wlan][611]kalDelMdnsPassthrough:(REQ ERROR) del mdns passthrough.
me.txt(670): 12-23 12:04:49.462 I/kernel  (  611): [ 1897.761697][wlan][611]kalDelMdnsPassthrough:(REQ ERROR) del mdns passthrough.
me.txt(707): 12-23 12:04:49.530 I/kernel  ( 1186): [ 1897.829718][wlan][1186]mtk_cfg_get_txpower:(REQ WARN) STA doesn't support this function
me.txt(713): 12-23 12:04:49.530 I/kernel  (  751): [ 1897.829803][wlan][751]priv_driver_set_wow_tcpport:(REQ WARN) argc is 4
me.txt(717): 12-23 12:04:49.530 I/kernel  ( 1186): [ 1897.829923][wlan][1186]mtk_cfg_get_txpower:(REQ WARN) STA doesn't support this function
me.txt(723): 12-23 12:04:49.530 I/kernel  (  751): [ 1897.830124][wlan][751]priv_driver_set_wow_tcpport:(REQ WARN) argc is 4
me.txt(731): 12-23 12:04:49.530 I/kernel  (  751): [ 1897.830383][wlan][751]priv_driver_set_wow_udpport:(REQ WARN) argc is 3
me.txt(739): 12-23 12:04:49.531 I/kernel  (  751): [ 1897.830631][wlan][751]priv_driver_set_wow_udpport:(REQ WARN) argc is 3
me.txt(774): 12-23 12:04:49.537 I/kernel  (  751): [ 1897.837488][wlan][751]priv_driver_set_wow_tcpport:(REQ WARN) argc is 4
me.txt(782): 12-23 12:04:49.538 I/kernel  (  751): [ 1897.838271][wlan][751]priv_driver_set_wow_tcpport:(REQ WARN) argc is 4
me.txt(790): 12-23 12:04:49.539 I/kernel  (  751): [ 1897.839128][wlan][751]priv_driver_set_wow_udpport:(REQ WARN) argc is 3
me.txt(798): 12-23 12:04:49.539 I/kernel  (  751): [ 1897.839458][wlan][751]priv_driver_set_wow_udpport:(REQ WARN) argc is 3
me.txt(802): 12-23 12:04:49.542 I/kernel  (  567): [ 1897.842123][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(803): 12-23 12:04:49.542 I/kernel  (  567): [ 1897.842128][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(804): 12-23 12:04:49.542 I/kernel  (  567): [ 1897.842133][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(805): 12-23 12:04:49.542 I/kernel  (  567): [ 1897.842138][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(808): 12-23 12:04:49.551 I/kernel  (  567): [ 1897.851290][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(812): 12-23 12:04:49.561 I/kernel  (  567): [ 1897.860885][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(813): 12-23 12:04:49.561 I/kernel  (  567): [ 1897.860890][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
me.txt(814): 12-23 12:04:49.561 I/kernel  (  567): [ 1897.860895][wlan][567]scanCheckEpigramVhtIE:(RLM WARN) [Epigram] prEpiIE->ucLength is too short, skip!
